tweet_id,airline_sentiment,airline,tweet
567591480085463000,negative,United,@united yes. We waited in line for almost an hour to do so. Some passengers just left not wanting to wait past 1am.
567588278875213000,neutral,Delta,@JetBlue's new CEO seeks the right balance to please passengers and Wall ... - Greenfield Daily Reporter http://t.co/LM3opxkxch
567590027375702000,negative,Delta,@JetBlue is REALLY getting on my nerves !! ðŸ˜¡ðŸ˜¡ #nothappy
567592368451248000,negative,United,"@united the we got into the gate at IAH on time and have given our seats and closed the flight. If you know people is arriving, have to wait"
567594449874587000,negative,Southwest,"@SouthwestAir its cool that my bags take a bit longer, dont give me baggage blue balls-turn the carousel on, tell me it's coming, then not."
567594579310825000,negative,United,"@united and don't hope for me having a nicer flight some other time, try to do things right. You sold me those tickets with that connetion"
567595670463205000,negative,United,@united I like delays less than you because I'm the one on the plane. Connect me with a voucher
567614049425555000,negative,United,"@united, link to current status of flights/airports? Fly BWI-EWR-MCO this morning yet can't yet tell what any problems are except see snow."
567617081336950000,negative,Southwest,@SouthwestAir you guys there? Are we on hour 2 of our phone hold at 3am bc of volume or short staffing?
567617486703853000,negative,United,@united I tried 2 DM it would not go thru... not sure why
567623209026334000,negative,United,"Wanted to get my bag benefit, but instead get $25 pricing on all three tickets. When adding a card, MP Visa is only option. @united"
567627253991735000,negative,United,@united please see a flight attendant for what? Why isn't there enough room for over head bags? I carry on to save time!!!
567630296783155000,negative,United,@united still waiting for a reply
567634106058821000,neutral,United,@united even though technically after I land I will be silver?
567643252753694000,neutral,US Airways,@USAirways how's us 1797 looking today?
567655489119326000,positive,Southwest,@SouthwestAir nice work on the update!
567663136082513000,negative,United,@united i have items of sentimental value that I'm heartbroken are missing
567663504102940000,negative,Southwest,@SouthwestAir We have been stuck in SJU for several hours and no one is answering here. Really tough to LUV SW. No response is bad.
567667301067915000,neutral,Delta,"@JetBlue CEO weighs profits, flyers - @ChronicleHerald (registration) http://t.co/l2n0egHdgn"
567670985403285000,negative,US Airways,@USAirways @AmericanAir How r u supposed to change flights when u can't get thru to reservations? #OneHourOnHold
567671602280923000,positive,Delta,@JetBlue Thanks! Her flight leaves at 2 but she's arriving to the airport early. Wedding is in VT in Sept. Grateful you fly to BTV!! :)
567676400933416000,negative,United,"@United is officially the worst, most delayed, and least helpful airline I have ever had the misfortune of flying on"
567676626855419000,negative,Southwest,@SouthwestAir won't answer their phones #HorribleService #NeverAgain #frustrated #AnswerThePhone
567679487383699000,negative,US Airways,@USAirways reservations had me on hold for 2 hours only to hang up...smh ðŸ˜•
567680108002291000,positive,Delta,@JetBlue No worries. Delay was minor and dealt with nicely. It was captain of flight 2324 by the way.
567686758708817000,neutral,Southwest,@SouthwestAir Is it a temporary site glitch or are you no longer offering flights from GRR to GEG after Feb? Can't find any online :(
